TSW:07:007:C	The water's high, you're jumping into it and letting go
TSW:07:008:C	And no one knows
TSW:07:009:C	That you cry, but you don't tell anyone
TSW:07:010:C	That you might not be the golden one
TSW:07:011:C	And you're tied together with a smile
TSW:07:012:C	But you're coming undone, oh
TSW:07:013:V	I guess it's true that love was all you wanted
TSW:07:014:V	'Cause you're giving it away like it's extra change
TSW:07:015:V	Hoping it will end up in his pocket (Pocket)
TSW:07:016:V	But he leaves you out like a penny in the rain
TSW:07:017:V	Oh, 'cause it's not his price to pay
TSW:07:018:V	It's not his price to pay
TSW:07:019:C	Hold on, baby, you're losing it
TSW:07:020:C	The water's high, you're jumping into it and letting go
TSW:07:021:C	And no one knows
TSW:07:022:C	That you cry, but you don't tell anyone
TSW:07:023:C	That you might not be the golden one
TSW:07:024:C	And you're tied together with a smile
TSW:07:025:C	But you're coming undone, oh
TSW:07:026:C	Oh, oh
TSW:07:027:C	Hold on, baby, you're losing it
TSW:07:028:C	The water's high, you're jumping into it and letting go
TSW:07:029:C	And no one knows
TSW:07:030:C	That you cry but you don't tell anyone
TSW:07:031:C	That you might not be the golden one
TSW:07:032:C	And you're tied together with a smile
TSW:07:033:C	But you're coming undone, oh
TSW:07:034:I	You're tied together with a smile
TSW:07:035:I	But you're coming undone, oh, oh-oh
TSW:07:036:I	Goodbye, baby
TSW:07:037:I	With a smile, baby, baby
TSW:07:038:I	Oh
TSW:08:001:V	Cory's eyes are like a jungle
TSW:08:002:V	He smiles, it's like the radio
TSW:08:003:V	He whispers songs into my window
TSW:08:004:V	In words that nobody knows
TSW:08:005:V	There's pretty girls on every corner
TSW:08:006:V	They watch him as he's walking home
TSW:08:007:V	Saying, "Does he know?"
TSW:08:008:V	Will you ever know?
TSW:08:009:C	You're beautiful, every little piece, love
TSW:08:010:C	Don't you know you're really gonna be someone?
TSW:08:011:C	Ask anyone
TSW:08:012:C	And when you find everything you looked for
TSW:08:013:C	I hope your life leads you back to my door
TSW:08:014:C	Oh, but if it don't
TSW:08:015:C	Stay beautiful
TSW:08:016:V	Cory finds another way to be
TSW:08:017:V	The highlight of my day
TSW:08:018:V	I'm taking pictures in my mind
TSW:08:019:V	So I can save 'em for a rainy day
TSW:08:020:V	It's hard to make a conversation
TSW:08:021:V	When he's taking my breath away
TSW:08:022:V	I should say, "Hey, by the way"
TSW:08:023:C	You're beautiful, every little piece, love
TSW:08:024:C	Don't you know you're really gonna be someone?
TSW:08:025:C	Ask anyone
TSW:08:026:C	And when you find everything you looked for
TSW:08:027:C	I hope your life leads you back to my door
TSW:08:028:C	Oh, but if it don't
TSW:08:029:C	Stay beautiful
TSW:08:030:B	If you and I are a story
TSW:08:031:B	That never gets told
TSW:08:032:B	If what you are is a daydream
TSW:08:033:B	I'll never get to hold, at least you'll know
TSW:08:034:C	You're beautiful, every little piece, love
TSW:08:035:C	Don't you know you're really gonna be someone?
TSW:08:036:C	Ask anyone
TSW:08:037:C	And when you find everything you looked for
TSW:08:038:C	I hope your life leads you back to my front door
TSW:08:039:C	Oh, but if it don't
TSW:08:040:C	Will you stay beautiful, beautiful, beautiful?
TSW:08:041:C	Beautiful, beautiful, beautiful
TSW:08:042:I	La-la-la
TSW:08:043:I	Oh-oh-oh
TSW:08:044:I	Oh-oh-oh-oh
TSW:08:045:I	Oh, but if it don't
TSW:08:046:I	Stay beautiful, stay beautiful
TSW:08:047:I	Na-na-na, na-na
TSW:09:001:V	It's strange to think the songs we used to sing
TSW:09:002:V	The smiles, the flowers, everything is gone
TSW:09:003:V	Yesterday, I found out about you
TSW:09:004:V	Even now, just lookin' at you feels wrong
TSW:09:005:C	You say that you'd take it all back
TSW:09:006:C	Given one chance
TSW:09:007:C	It was a moment of weakness
TSW:09:008:C	And you said yes
TSW:09:009:C	You should've said no, you should've gone home
TSW:09:010:C	You should've thought twice 'fore you let it all go
TSW:09:011:C	You should've known that word
TSW:09:012:C	'Bout what you did with her'd get back to me (Get back to me)
TSW:09:013:C	And I should've been there in the back of your mind
TSW:09:014:C	I shouldn't be asking myself why
TSW:09:015:C	You shouldn't be begging for forgiveness at my feet
TSW:09:016:C	You should've said no
TSW:09:017:C	Baby, and you might still have me
TSW:09:018:V	You can see that I've been cryin'
TSW:09:019:V	And baby, you know all the right things to say
TSW:09:020:V	But do you honestly expect me to believe
TSW:09:021:V	We could ever be the same?
TSW:09:022:C	You say that the past is the past
TSW:09:023:C	You need one chance
TSW:09:024:C	It was a moment of weakness
TSW:09:025:C	And you said yes
TSW:09:026:C	You should've said no, you should've gone home
TSW:09:027:C	You should've thought twice 'fore you let it all go
TSW:09:028:C	You should've known that word
TSW:09:029:C	'Bout what you did with her'd get back to me (Get back to me)
TSW:09:030:C	And I should've been there in the back of your mind
TSW:09:031:C	I shouldn't be asking myself why
TSW:09:032:C	You shouldn't be begging for forgiveness at my feet
TSW:09:033:C	You should've said no
TSW:09:034:C	Baby, and you might still have me
TSW:09:035:C	Oh, oh
TSW:09:036:B	I can't resist
TSW:09:037:B	Before you go, tell me this
TSW:09:038:B	Was it worth it?
TSW:09:039:B	Was she worth this?
TSW:09:040:B	No, no
TSW:09:041:B	No, no, no, no
TSW:09:042:C	You should've said no, you should've gone home
TSW:09:043:C	You should've thought twice 'fore you let it all go
TSW:09:044:C	You should've known that word
TSW:09:045:C	'Bout what you did with her'd get back to me (Get back to me)
TSW:09:046:C	And I should've been there, in the back of your mind
TSW:09:047:C	I shouldn't be asking myself why
TSW:09:048:C	You shouldn't be begging for forgiveness at my feet
TSW:09:049:C	You should've said no
TSW:09:050:C	Baby, and you might still have me
TSW:10:001:V	She said I was seven and you were nine
TSW:10:002:V	I looked at you like the stars that shined
TSW:10:003:V	In the sky, the pretty lights
TSW:10:004:V	And our daddies used to joke about the two of us
TSW:10:005:V	Growing up and falling in love
TSW:10:006:V	And our mamas smiled and rolled their eyes
TSW:10:007:V	And said, "Oh, my, my, my"
TSW:10:008:C	Take me back to the house in the backyard tree
TSW:10:009:C	Said you'd beat me up, you were bigger than me
TSW:10:010:C	You never did, you never did
TSW:10:011:C	Take me back when our world was one block wide
TSW:10:012:C	I dared you to kiss me and ran when you tried
TSW:10:013:C	Just two kids, you and I
TSW:10:014:C	Oh, my, my, my, my
TSW:10:015:V	Well, I was sixteen when suddenly
TSW:10:016:V	I wasn't that little girl you used to see
TSW:10:017:V	But your eyes still shined like pretty lights
TSW:10:018:V	And our daddies used to joke about the two of us
TSW:10:019:V	They never believed we'd really fall in love
TSW:10:020:V	And our mamas smiled and rolled their eyes
TSW:10:021:V	And said, "Oh, my, my, my"
TSW:10:022:C	Take me back to the creek beds we turned up
TSW:10:023:C	2AM riding in your truck
TSW:10:024:C	And all I need is you next to me
TSW:10:025:C	Take me back to the time we had our very first fight
TSW:10:026:C	The slamming of doors 'stead of kissing goodnight
TSW:10:027:C	You stayed outside 'til the morning light
TSW:10:028:C	Oh, my, my, my, my
TSW:10:029:B	A few years had gone and come around
TSW:10:030:B	We were sitting at our favorite spot in town
TSW:10:031:B	And you looked at me, got down on one knee
TSW:10:032:C	Take me back to the time when we walked down the aisle
TSW:10:033:C	Our whole town came and our mamas cried
TSW:10:034:C	You said, "I do," and I did, too
TSW:10:035:C	Take me home where we met so many years before
TSW:10:036:C	We'll rock our babies on that very front porch
TSW:10:037:C	After all this time, you and I
TSW:10:038:I	And I'll be eighty-seven, you'll be eighty-nine
TSW:10:039:I	I'll still look at you like the stars that shine
TSW:10:040:I	In the sky, oh, my, my, my
TSW:11:001:V	I was ridin' shotgun with my hair undone
TSW:11:002:V	In the front seat of his car
TSW:11:003:V	He's got a one-hand feel on the steering wheel
TSW:11:004:V	The other on my heart
TSW:11:005:V	I look around, turn the radio down
